GROUP WARANTY,MAIN PRODUCT,TYPE,GROUP,SERIES,SUB SERIES,Thai / Asia (Except Japan),,,Europe / Japan / USA / Australia,,,Item number,Property,Product name,Search name,Item remark,Text production,Production pool,Item group,Unit
,,,,,,Period,Milage,Warranty Card,Period,Milage,Warranty Card,,,,,,,,,
 CARTRIDGE KIT,CARTRIDGE,GAS,CLOSED CARTRIDGE,CLOSED CARTRIDGE KIT,CLOSED CARTRIDGE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,CC308-655TRC-01,,GAS CLOSED CARTRIDGE KIT,HO\CBR 1000 RR '12-19,ECR001785,แถม FORK SPRING 2 PAIR (SOFT+HARD)+FORK FLUID 1 LITRE,6124,FG-CARTRID,PAIR
 CARTRIDGE KIT,CARTRIDGE,GAS,CLOSED CARTRIDGE,CLOSED CARTRIDGE KIT,CLOSED CARTRIDGE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,CC308-680TRC-01,,GAS CLOSED CARTRIDGE KIT,TRI\STREET TRIPLE 765RS '16-19,ECR001785,แถม FORK SPRING 2 PAIR (SOFT+HARD)+FORK FLUID 1 LITRE,6124,FG-CARTRID,PAIR
 CARTRIDGE KIT,CARTRIDGE,GAS,CLOSED CARTRIDGE,CLOSED CARTRIDGE KIT,CLOSED CARTRIDGE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,CC308-680TRC-02,,GAS CLOSED CARTRIDGE KIT,TRI\DAYTONA 675 '06-08,ECR001785,แถม FORK SPRING 2 PAIR (SOFT+HARD)+FORK FLUID 1 LITRE,6124,FG-CARTRID,PAIR
 CARTRIDGE KIT,CARTRIDGE,GAS,CLOSED CARTRIDGE,CLOSED CARTRIDGE KIT,CLOSED CARTRIDGE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,CC308-680TRC-03,,GAS CLOSED CARTRIDGE KIT,SUZ\GSX-R 1000 '09-11,ECR001785,แถม FORK SPRING 2 PAIR (SOFT+HARD)+FORK FLUID 1 LITRE,6124,FG-CARTRID,PAIR
 CARTRIDGE KIT,CARTRIDGE,GAS,CLOSED CARTRIDGE,CLOSED CARTRIDGE KIT,CLOSED CARTRIDGE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,CC308-685TRC-01,,GAS CLOSED CARTRIDGE KIT,YAM\YZF R6 600 '06-07,ECR001785,แถม FORK SPRING 2 PAIR (SOFT+HARD)+FORK FLUID 1 LITRE,6124,FG-CARTRID,PAIR
 CARTRIDGE KIT,CARTRIDGE,GAS,CLOSED CARTRIDGE,CLOSED CARTRIDGE KIT,CLOSED CARTRIDGE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,CC308-685TRC-02,,GAS CLOSED CARTRIDGE KIT,YAM\YZF R1 1000 '06-08,ECR001785,แถม FORK SPRING 2 PAIR (SOFT+HARD)+FORK FLUID 1 LITRE,6124,FG-CARTRID,PAIR
 CARTRIDGE KIT,CARTRIDGE,GAS,CLOSED CARTRIDGE,CLOSED CARTRIDGE KIT,CLOSED CARTRIDGE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,CC308-685TRC-03,,GAS CLOSED CARTRIDGE KIT,YAM\YZF R6 600 '17-19\YZF R1 1000 '15-19,ECR001785,แถม FORK SPRING 2 PAIR (SOFT+HARD)+FORK FLUID 1 LITRE,6124,FG-CARTRID,PAIR
 CARTRIDGE KIT,CARTRIDGE,GAS,CLOSED CARTRIDGE,CLOSED CARTRIDGE KIT,CLOSED CARTRIDGE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,CC308-685TRC-04,,GAS CLOSED CARTRIDGE KIT,DUC\PANIGALE 899 '14-15/959 '16-17,ECR001785,แถม FORK SPRING 2 PAIR (SOFT+HARD)+FORK FLUID 1 LITRE,6124,FG-CARTRID,PAIR
 CARTRIDGE KIT,CARTRIDGE,GAS,CLOSED CARTRIDGE,CLOSED CARTRIDGE KIT,CLOSED CARTRIDGE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,CC308-685TRC-05,,GAS CLOSED CARTRIDGE KIT,DUC\1098 '07-08,,แถม FORK SPRING 2 PAIR (SOFT+HARD)+FORK FLUID 1 LITRE,6124,FG-CARTRID,PAIR
